Model,Precision,Recall,F1,Accuracy,ROC_AUC,TP,FP,FN,TN,Spike_Detection,Cascade_Detection,Drift_Detection
STL Decomposition,0.13342599027102153,0.5581395348837209,0.2153673583847448,0.8933689024390243,0.7346159587016353,192,1247,152,11529,1.0,0.75,0.45491803278688525
LightGBM,0.46601941747572817,0.27906976744186046,0.3490909090909091,0.9727134146341463,0.8134535957682283,96,110,248,12666,0.08333333333333333,0.15789473684210525,0.3360655737704918
Isolation Forest,0.1903114186851211,0.15988372093023256,0.17377567140600317,0.9601371951219512,0.7729338530820871,55,234,289,12542,0.0,0.0,0.22540983606557377
Ensemble,0.5648854961832062,0.43023255813953487,0.4884488448844885,0.9763719512195121,0.8588189064525056,148,114,196,12662,0.875,0.4605263157894737,0.3770491803278688
