threshold,precision,recall,f1,tp,fp,fn,tn,spike_detection_rate,cascade_detection_rate,drift_detection_rate
0.3,0.03505452926774983,0.9156976744186046,0.06752411575562701,315,8671,29,4105,1.0,0.9342105263157895,0.9016393442622951
0.5,0.04601887104783976,0.8081395348837209,0.08707909162098669,278,5763,66,7013,1.0,0.9210526315789473,0.7540983606557377
0.75,0.09937611408199644,0.6482558139534884,0.1723338485316847,223,2021,121,10755,0.75,0.9078947368421053,0.5573770491803278
1.0,0.3772819472616633,0.5406976744186046,0.4444444444444444,186,307,158,12469,0.6666666666666666,0.7763157894736842,0.45491803278688525
