trial,score,duration_sec,lgbm_num_leaves,lgbm_learning_rate,lgbm_feature_fraction,lgbm_bagging_fraction,lgbm_n_estimators,lgbm_residual_threshold_sigma,stl_residual_threshold_sigma,iforest_contamination,iforest_n_estimators,w_stl_raw,w_lgbm_raw,w_iforest_raw,ensemble_threshold,dbscan_eps_days,cascade_rate,drift_rate,ensemble_f1,ensemble_fp,ensemble_tp,lgbm_f1,spike_rate,stl_f1,w_iforest,w_lgbm,w_stl
221,0.4453,30.4,70,0.04597407336298313,0.5996678530882786,0.9558432116471656,400,1.5921818927959819,1.6797369527215298,0.014755132895240863,400,0.8947947146293398,0.45987495810056955,0.16955314889606013,0.09895797963215344,3,0.4868,0.4467,0.436,255,167,0.3427,0.875,0.2018,0.1112,0.3017,0.587
184,0.4449,34.7,83,0.050190757398582385,0.6225333899044567,0.9985876383456399,1300,1.9329156870279534,1.7264383178495037,0.015221240195968898,450,0.8823115091256828,0.6193043282400073,0.16172818536510963,0.09659521316413448,3,0.4079,0.4098,0.4604,161,151,0.3467,0.8333,0.2053,0.0972,0.3723,0.5304
224,0.4448,28.7,44,0.049235622147820075,0.6137193190667286,0.9716795416364086,400,1.6953335906762534,1.6729345725563427,0.013443933142253298,400,0.858060758940717,0.6206954269811611,0.13736593641193307,0.10427444209648633,3,0.3421,0.373,0.4821,81,135,0.3524,0.75,0.2012,0.085,0.3841,0.5309
352,0.4447,10.7,70,0.04013439870763934,0.6732705387221375,0.9737638379116472,1500,1.7928000815976244,1.768848997539042,0.0117641352503624,450,0.9606587666314564,0.7127963805772815,0.1137540079951433,0.06553537146650196,3,0.5921,0.4836,0.4048,389,186,0.3438,0.9583,0.208,0.0636,0.3988,0.5375
133,0.4443,28.7,66,0.07321181755978368,0.6207083039193662,0.9581692085682096,400,1.7413190095027575,1.435872954519323,0.01179187526865406,300,0.8813281226679948,0.42064895472503394,0.13395049538711024,0.10418512052543516,3,0.4079,0.3852,0.4647,135,145,0.3443,0.8333,0.1823,0.0933,0.2929,0.6138
194,0.443,33.3,91,0.04727145964112711,0.6596301895610273,0.9664512059269593,900,2.0234063634776303,1.8543733536239215,0.014795272799265465,400,0.904186135337156,0.7325242061603058,0.12265607736696417,0.09882671954292882,3,0.3421,0.3525,0.4841,60,129,0.3504,0.7083,0.2148,0.0697,0.4164,0.5139
73,0.4428,30.8,67,0.058845824965253146,0.5205776342418256,0.9589726229031278,200,1.8389041730149562,2.683914801848827,0.013375230844509235,450,0.8517917237998047,0.4622921862138381,0.16326038504070547,0.10600560282116683,3,0.3947,0.4098,0.4601,158,150,0.3405,0.8333,0.2985,0.1105,0.3129,0.5766
236,0.4427,31.3,74,0.05452121476158107,0.6439998374172197,0.9823517849628931,300,1.749085605774522,1.664871552055775,0.01260108335821979,400,0.8306580158080861,0.6175857539181404,0.11547450603204948,0.10042486524816074,3,0.3553,0.3525,0.4807,70,131,0.3582,0.75,0.2006,0.0738,0.3949,0.5312
409,0.4423,36.2,31,0.03824150926537611,0.5139876958899275,0.9907389535698384,1000,1.697439172337582,1.6630314925504917,0.004000500474883541,450,0.7045620945234041,0.5754901750045115,0.11864986260509121,0.07816111872008213,2,0.5263,0.4467,0.4234,289,170,0.3577,0.875,0.2005,0.0848,0.4114,0.5037
481,0.4415,7.3,25,0.04005074261148139,0.5233314318339123,0.9998450961570599,1000,1.7165420644212885,1.7456229709287556,0.0039236113832488775,350,0.7715426167706517,0.5500191033290532,0.11768952871837277,0.07689640470005445,2,0.5526,0.4508,0.4157,323,175,0.3697,0.9583,0.2059,0.0818,0.3822,0.5361
